resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BTNXX,2015,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.026099,0.057123,0.301,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2015,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.019639,0.055152,0.32,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2015,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.584027,0.182585,0.862,0.079,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2015,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.021473,0.060127,0.321,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2016,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.027471,0.076987,0.352,0.0,728,27.473,89.639,6.0,0.082192
solar,BTNXX,2016,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.656283,0.172199,0.9,0.065,728,27.473,89.639,6.0,0.082192
solar,BTNXX,2016,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.020029,0.05635,0.298,0.0,728,27.473,89.639,6.0,0.082192
solar,BTNXX,2016,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.045409,0.097397,0.359,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2016,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.622053,0.163543,0.9,0.135,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2016,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.033633,0.073356,0.338,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2016,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.02863,0.063451,0.337,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2016,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.407237,0.147501,0.789,0.095,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2016,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.025245,0.054624,0.3,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2016,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.023207,0.064783,0.31,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2016,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.615621,0.18972,0.893,0.142,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2016,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.025291,0.072391,0.339,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2017,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.030907,0.085628,0.354,0.0,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2017,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.668838,0.174772,0.9,0.094,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2017,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.024376,0.067757,0.288,0.0,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2017,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.044808,0.097351,0.368,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2017,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.617213,0.178136,0.9,0.145,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2017,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.034476,0.075743,0.341,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2017,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.03098,0.068721,0.34,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2017,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.44076,0.153907,0.803,0.107,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2017,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.02703,0.058012,0.296,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2017,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.023934,0.065472,0.314,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2017,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.603879,0.1914,0.88,0.077,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2017,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.022877,0.065572,0.337,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2018,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.030844,0.083743,0.355,0.0,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2018,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.684062,0.152363,0.9,0.175,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2018,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.023739,0.063914,0.282,0.0,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2018,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.040196,0.089216,0.37,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2018,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.579829,0.176701,0.9,0.126,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2018,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.030481,0.067209,0.34,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2018,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.033627,0.072058,0.331,0.0,976,27.473,89.639,6.0,0.111416
