REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S2D3,ELCBGDXX03,2037,32.264441268
GLOBAL,S2D4,ELCBGDXX03,2037,22.93047913
GLOBAL,S2D5,ELCBGDXX03,2037,20.144323591
GLOBAL,S3D1,ELCBGDXX03,2037,91.612770168
GLOBAL,S3D2,ELCBGDXX03,2037,151.33434061100002
GLOBAL,S3D3,ELCBGDXX03,2037,43.387623962
GLOBAL,S3D4,ELCBGDXX03,2037,32.037377875
GLOBAL,S3D5,ELCBGDXX03,2037,28.955942473
GLOBAL,S4D1,ELCBGDXX03,2037,38.099873016
GLOBAL,S4D2,ELCBGDXX03,2037,67.679508929
GLOBAL,S4D3,ELCBGDXX03,2037,20.852800358
GLOBAL,S4D4,ELCBGDXX03,2037,14.090599138999998
GLOBAL,S4D5,ELCBGDXX03,2037,12.340359423
GLOBAL,S1D1,ELCBGDXX03,2038,53.723051874
GLOBAL,S1D2,ELCBGDXX03,2038,110.314700754
GLOBAL,S1D3,ELCBGDXX03,2038,33.307142259
GLOBAL,S1D4,ELCBGDXX03,2038,22.449800334000003
GLOBAL,S1D5,ELCBGDXX03,2038,18.273188802000004
GLOBAL,S2D1,ELCBGDXX03,2038,66.48081364800001
GLOBAL,S2D2,ELCBGDXX03,2038,115.59296031300002
GLOBAL,S2D3,ELCBGDXX03,2038,33.991950492
GLOBAL,S2D4,ELCBGDXX03,2038,24.15822747
GLOBAL,S2D5,ELCBGDXX03,2038,21.222895029
GLOBAL,S3D1,ELCBGDXX03,2038,96.517919592
GLOBAL,S3D2,ELCBGDXX03,2038,159.43711440900003
GLOBAL,S3D3,ELCBGDXX03,2038,45.710692878
GLOBAL,S3D4,ELCBGDXX03,2038,33.752729625
GLOBAL,S3D5,ELCBGDXX03,2038,30.506307387000003
GLOBAL,S4D1,ELCBGDXX03,2038,40.139824104
GLOBAL,S4D2,ELCBGDXX03,2038,71.303218851
GLOBAL,S4D3,ELCBGDXX03,2038,21.969305202
GLOBAL,S4D4,ELCBGDXX03,2038,14.845040841000001
GLOBAL,S4D5,ELCBGDXX03,2038,13.001089437000001
GLOBAL,S1D1,ELCBGDXX03,2039,56.599464420000004
GLOBAL,S1D2,ELCBGDXX03,2039,116.22111482000001
GLOBAL,S1D3,ELCBGDXX03,2039,35.09045647
GLOBAL,S1D4,ELCBGDXX03,2039,23.65179622
GLOBAL,S1D5,ELCBGDXX03,2039,19.25156266
GLOBAL,S2D1,ELCBGDXX03,2039,70.04029584000001
GLOBAL,S2D2,ELCBGDXX03,2039,121.78198029000002
GLOBAL,S2D3,ELCBGDXX03,2039,35.81193036
GLOBAL,S2D4,ELCBGDXX03,2039,25.451695100000002
GLOBAL,S2D5,ELCBGDXX03,2039,22.35920057
GLOBAL,S3D1,ELCBGDXX03,2039,101.68563336
GLOBAL,S3D2,ELCBGDXX03,2039,167.97361597000003
GLOBAL,S3D3,ELCBGDXX03,2039,48.15811174
GLOBAL,S3D4,ELCBGDXX03,2039,35.55990125
GLOBAL,S3D5,ELCBGDXX03,2039,32.13966071
GLOBAL,S4D1,ELCBGDXX03,2039,42.288970320000004
GLOBAL,S4D2,ELCBGDXX03,2039,75.12089983
GLOBAL,S4D3,ELCBGDXX03,2039,23.14557466
GLOBAL,S4D4,ELCBGDXX03,2039,15.63986653
GLOBAL,S4D5,ELCBGDXX03,2039,13.697187210000001
GLOBAL,S1D1,ELCBGDXX03,2040,59.62992471
GLOBAL,S1D2,ELCBGDXX03,2040,122.44384991
GLOBAL,S1D3,ELCBGDXX03,2040,36.969276985
GLOBAL,S1D4,ELCBGDXX03,2040,24.91816561
GLOBAL,S1D5,ELCBGDXX03,2040,20.282333830000002
GLOBAL,S2D1,ELCBGDXX03,2040,73.79040792
GLOBAL,S2D2,ELCBGDXX03,2040,128.302456395
GLOBAL,S2D3,ELCBGDXX03,2040,37.72938018
GLOBAL,S2D4,ELCBGDXX03,2040,26.81443505
GLOBAL,S2D5,ELCBGDXX03,2040,23.556361535
GLOBAL,S3D1,ELCBGDXX03,2040,107.13010668
GLOBAL,S3D2,ELCBGDXX03,2040,176.96729423500003
GLOBAL,S3D3,ELCBGDXX03,2040,50.73660337
GLOBAL,S3D4,ELCBGDXX03,2040,37.463856875000005
GLOBAL,S3D5,ELCBGDXX03,2040,33.860489105
GLOBAL,S4D1,ELCBGDXX03,2040,44.55321516
GLOBAL,S4D2,ELCBGDXX03,2040,79.143038665
GLOBAL,S4D3,ELCBGDXX03,2040,24.38483983
GLOBAL,S4D4,ELCBGDXX03,2040,16.477259515
GLOBAL,S4D5,ELCBGDXX03,2040,14.430564855000002
GLOBAL,S1D1,ELCBGDXX03,2041,62.82259559999999
GLOBAL,S1D2,ELCBGDXX03,2041,128.99966759999998
GLOBAL,S1D3,ELCBGDXX03,2041,38.948664599999994
GLOBAL,S1D4,ELCBGDXX03,2041,26.252319599999996
