REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINGASMDV,1,2031,10.0
GLOBAL,MINGASMDV,1,2032,10.0
GLOBAL,MINGASMDV,1,2033,10.0
GLOBAL,MINGASMDV,1,2034,10.0
GLOBAL,MINGASMDV,1,2035,10.0
GLOBAL,MINGASMDV,1,2036,10.0
GLOBAL,MINGASMDV,1,2037,10.0
GLOBAL,MINGASMDV,1,2038,10.0
GLOBAL,MINGASMDV,1,2039,10.0
GLOBAL,MINGASMDV,1,2040,10.0
GLOBAL,MINGASMDV,1,2041,10.0
GLOBAL,MINGASMDV,1,2042,10.0
GLOBAL,MINGASMDV,1,2043,10.0
GLOBAL,MINGASMDV,1,2044,10.0
GLOBAL,MINGASMDV,1,2045,10.0
GLOBAL,MINGASMDV,1,2046,10.0
GLOBAL,MINGASMDV,1,2047,10.0
GLOBAL,MINGASMDV,1,2048,10.0
GLOBAL,MINGASMDV,1,2049,10.0
GLOBAL,MINGASMDV,1,2050,10.0
GLOBAL,MINGASNPL,1,2023,13.6
GLOBAL,MINGASNPL,1,2024,12.75
GLOBAL,MINGASNPL,1,2025,11.9
GLOBAL,MINGASNPL,1,2026,11.52
GLOBAL,MINGASNPL,1,2027,11.14
GLOBAL,MINGASNPL,1,2028,10.76
GLOBAL,MINGASNPL,1,2029,10.38
GLOBAL,MINGASNPL,1,2030,10.0
GLOBAL,MINGASNPL,1,2031,10.0
GLOBAL,MINGASNPL,1,2032,10.0
