REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D2,DSPTRNBGDXX,2,2028,321.744951132394
GLOBAL,S1D3,DSPTRNBGDXX,2,2028,325.30646652258656
GLOBAL,S1D4,DSPTRNBGDXX,2,2028,326.6875253403939
GLOBAL,S1D5,DSPTRNBGDXX,2,2028,214.57812062058497
GLOBAL,S2D1,DSPTRNBGDXX,2,2028,310.96612727895456
GLOBAL,S2D2,DSPTRNBGDXX,2,2028,274.6159424245623
GLOBAL,S2D3,DSPTRNBGDXX,2,2028,229.06925281807452
GLOBAL,S2D4,DSPTRNBGDXX,2,2028,189.9909427370528
GLOBAL,S2D5,DSPTRNBGDXX,2,2028,165.27415531743665
GLOBAL,S3D1,DSPTRNBGDXX,2,2028,326.687525340394
GLOBAL,S3D2,DSPTRNBGDXX,2,2028,321.744951132394
GLOBAL,S3D3,DSPTRNBGDXX,2,2028,325.48915734039394
GLOBAL,S3D4,DSPTRNBGDXX,2,2028,326.6875253403939
GLOBAL,S3D5,DSPTRNBGDXX,2,2028,326.6875253403939
GLOBAL,S4D1,DSPTRNBGDXX,2,2028,321.744951132394
GLOBAL,S4D2,DSPTRNBGDXX,2,2028,321.744951132394
GLOBAL,S4D3,DSPTRNBGDXX,2,2028,304.01161352110336
GLOBAL,S4D4,DSPTRNBGDXX,2,2028,321.7449511323939
GLOBAL,S4D5,DSPTRNBGDXX,2,2028,311.3242047756056
GLOBAL,S1D1,DSPTRNBGDXX,1,2029,173.70983460585228
GLOBAL,S1D2,DSPTRNBGDXX,1,2029,283.6631034312884
GLOBAL,S1D3,DSPTRNBGDXX,1,2029,299.28200711184
GLOBAL,S1D4,DSPTRNBGDXX,1,2029,305.15620063534493
GLOBAL,S1D5,DSPTRNBGDXX,1,2029,221.45352021216
GLOBAL,S2D1,DSPTRNBGDXX,1,2029,298.7934391008
GLOBAL,S2D2,DSPTRNBGDXX,1,2029,349.94949937488
GLOBAL,S2D3,DSPTRNBGDXX,1,2029,485.3997158270307
GLOBAL,S2D4,DSPTRNBGDXX,1,2029,573.9270345667401
GLOBAL,S2D5,DSPTRNBGDXX,1,2029,512.017983815206
GLOBAL,S3D1,DSPTRNBGDXX,1,2029,343.71395909484846
GLOBAL,S3D2,DSPTRNBGDXX,1,2029,278.12876008951866
GLOBAL,S3D3,DSPTRNBGDXX,1,2029,307.28039291424
GLOBAL,S3D4,DSPTRNBGDXX,1,2029,378.7152967483272
GLOBAL,S3D5,DSPTRNBGDXX,1,2029,306.8022170470276
GLOBAL,S4D1,DSPTRNBGDXX,1,2029,228.75591464843612
GLOBAL,S4D2,DSPTRNBGDXX,1,2029,210.34204220523964
