REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOGNPL,1,2042,10.305634068623187
GLOBAL,MINCOGNPL,1,2043,10.404800051518894
GLOBAL,MINCOGNPL,1,2044,10.503966034414603
GLOBAL,MINCOGNPL,1,2045,10.60313201731031
GLOBAL,MINCOGNPL,1,2046,10.702298000206016
GLOBAL,MINCOGNPL,1,2047,10.801463983101725
GLOBAL,MINCOGNPL,1,2048,10.900629965997432
GLOBAL,MINCOGNPL,1,2049,10.99979594889314
GLOBAL,MINCOGNPL,1,2050,11.098961931788848
GLOBAL,MINGASBGD,1,2023,5.422227767430297
GLOBAL,MINGASBGD,1,2024,5.422227767430297
GLOBAL,MINGASBGD,1,2025,5.616456821786009
GLOBAL,MINGASBGD,1,2026,5.810685876141723
GLOBAL,MINGASBGD,1,2027,6.004914930497434
GLOBAL,MINGASBGD,1,2028,6.199143984853147
GLOBAL,MINGASBGD,1,2029,6.393373039208858
GLOBAL,MINGASBGD,1,2030,6.587602093564572
GLOBAL,MINGASBGD,1,2031,6.729227445698944
GLOBAL,MINGASBGD,1,2032,6.870852797833318
GLOBAL,MINGASBGD,1,2033,7.0124781499676905
GLOBAL,MINGASBGD,1,2034,7.154103502102064
GLOBAL,MINGASBGD,1,2035,7.295728854236437
GLOBAL,MINGASBGD,1,2036,7.437354206370811
GLOBAL,MINGASBGD,1,2037,7.578979558505185
GLOBAL,MINGASBGD,1,2038,7.720604910639557
GLOBAL,MINGASBGD,1,2039,7.862230262773931
GLOBAL,MINGASBGD,1,2040,8.003855614908305
GLOBAL,MINGASBGD,1,2041,8.145480967042678
GLOBAL,MINGASBGD,1,2042,8.204828733651368
GLOBAL,MINGASBGD,1,2043,8.264176500260058
GLOBAL,MINGASBGD,1,2044,8.323524266868748
GLOBAL,MINGASBGD,1,2045,8.382872033477438
GLOBAL,MINGASBGD,1,2046,8.442219800086127
GLOBAL,MINGASBGD,1,2047,8.501567566694817
GLOBAL,MINGASBGD,1,2048,8.560915333303509
GLOBAL,MINGASBGD,1,2049,8.620263099912195
GLOBAL,MINGASBGD,1,2050,8.679610866520887
GLOBAL,MINGASBTN,1,2023,17.73081239289668
GLOBAL,MINGASBTN,1,2024,15.447008874139122
GLOBAL,MINGASBTN,1,2025,14.109394484067977
GLOBAL,MINGASBTN,1,2026,18.348963452335095
GLOBAL,MINGASBTN,1,2027,14.639960790819067
GLOBAL,MINGASBTN,1,2028,14.011399715510837
GLOBAL,MINGASBTN,1,2029,13.382838640202607
GLOBAL,MINGASBTN,1,2030,12.754277564894378
GLOBAL,MINGASBTN,1,2031,12.125716489586148
GLOBAL,MINGASBTN,1,2032,11.49715541427792
GLOBAL,MINGASBTN,1,2033,10.868594338969691
GLOBAL,MINGASBTN,1,2034,10.240033263661461
GLOBAL,MINGASBTN,1,2035,9.61147218835323
GLOBAL,MINGASBTN,1,2036,9.710638171248938
GLOBAL,MINGASBTN,1,2037,9.809804154144647
GLOBAL,MINGASBTN,1,2038,9.908970137040354
GLOBAL,MINGASBTN,1,2039,10.008136119936063
GLOBAL,MINGASBTN,1,2040,10.10730210283177
GLOBAL,MINGASBTN,1,2041,10.206468085727478
GLOBAL,MINGASBTN,1,2042,10.305634068623187
GLOBAL,MINGASBTN,1,2043,10.404800051518894
GLOBAL,MINGASBTN,1,2044,10.503966034414603
GLOBAL,MINGASBTN,1,2045,10.60313201731031
GLOBAL,MINGASBTN,1,2046,10.702298000206016
GLOBAL,MINGASBTN,1,2047,10.801463983101725
GLOBAL,MINGASBTN,1,2048,10.900629965997432
GLOBAL,MINGASBTN,1,2049,10.99979594889314
GLOBAL,MINGASBTN,1,2050,11.098961931788848
GLOBAL,MINGASIND,1,2023,16.37091690573507
GLOBAL,MINGASIND,1,2024,14.262273668971494
GLOBAL,MINGASIND,1,2025,13.027249940417297
GLOBAL,MINGASIND,1,2026,16.94165779481653
GLOBAL,MINGASIND,1,2027,13.517123541712891
GLOBAL,MINGASIND,1,2028,12.936771051029895
GLOBAL,MINGASIND,1,2029,12.3564185603469
GLOBAL,MINGASIND,1,2030,11.776066069663905
GLOBAL,MINGASIND,1,2031,11.19571357898091
GLOBAL,MINGASIND,1,2032,10.615361088297915
GLOBAL,MINGASIND,1,2033,10.035008597614919
GLOBAL,MINGASIND,1,2034,9.454656106931925
GLOBAL,MINGASIND,1,2035,8.874303616248929
GLOBAL,MINGASIND,1,2036,8.96586389165467
GLOBAL,MINGASIND,1,2037,9.057424167060415
GLOBAL,MINGASIND,1,2038,9.148984442466157
GLOBAL,MINGASIND,1,2039,9.2405447178719
GLOBAL,MINGASIND,1,2040,9.332104993277644
GLOBAL,MINGASIND,1,2041,9.423665268683385
GLOBAL,MINGASIND,1,2042,9.515225544089128
GLOBAL,MINGASIND,1,2043,9.60678581949487
